Tarifa,Tipo Traslado,Origen,Destino,Tipo Vehículo,Precio,Notas
Económico,Punto a Punto,Aguascalientes,San Miguel de Allende,SEDAN,5350,CUALQUIER DESTINO EN LA CIUDAD DE AGUASCALIENTES
Económico,Punto a Punto,San Miguel de Allende,Aguascalientes,SEDAN,5350,CUALQUIER DESTINO EN LA CIUDAD DE AGUASCALIENTES
Económico,Punto a Punto,Aguascalientes,San Miguel de Allende,VAN,9095,CUALQUIER DESTINO EN LA CIUDAD DE AGUASCALIENTES
Económico,Punto a Punto,San Miguel de Allende,Aguascalientes,VAN,9095,CUALQUIER DESTINO EN LA CIUDAD DE AGUASCALIENTES
Económico,Punto a Punto,León,San Miguel de Allende,SEDAN,2675,CUALQUIER DESTINO EN LA CIUDAD DE LEÓN
Económico,Punto a Punto,San Miguel de Allende,León,SEDAN,2675,CUALQUIER DESTINO EN LA CIUDAD DE LEÓN
Económico,Punto a Punto,León,San Miguel de Allende,VAN,6420,CUALQUIER DESTINO EN LA CIUDAD DE LEÓN
Económico,Punto a Punto,San Miguel de Allende,León,VAN,6420,CUALQUIER DESTINO EN LA CIUDAD DE LEÓN
Económico,Punto a Punto,Ciudad de México 1 (Norte & Zona Centro),San Miguel de Allende,SEDAN,5350,"(ZÓCALO, POLANCO, LA CONDESA, REFORMA, ZONA ROSA, LA ALAMEDA CENTRAL, CHAPULTEPEC)"
Económico,Punto a Punto,San Miguel de Allende,Ciudad de México 1 (Norte & Zona Centro),SEDAN,5350,"(ZÓCALO, POLANCO, LA CONDESA, REFORMA, ZONA ROSA, LA ALAMEDA CENTRAL, CHAPULTEPEC)"
Económico,Punto a Punto,Ciudad de México 1 (Norte & Zona Centro),San Miguel de Allende,VAN,9095,"(ZÓCALO, POLANCO, LA CONDESA, REFORMA, ZONA ROSA, LA ALAMEDA CENTRAL, CHAPULTEPEC)"
Económico,Punto a Punto,San Miguel de Allende,Ciudad de México 1 (Norte & Zona Centro),VAN,9095,"(ZÓCALO, POLANCO, LA CONDESA, REFORMA, ZONA ROSA, LA ALAMEDA CENTRAL, CHAPULTEPEC)"
Económico,Punto a Punto,Ciudad de México 2 (Sur & Zona de Santa Fé),San Miguel de Allende,SEDAN,6420,CUALQUIER DESTINO AL SUR DE MÉXICO Y LA ZONA DE SANTA FÉ
Económico,Punto a Punto,San Miguel de Allende,Ciudad de México 2 (Sur & Zona de Santa Fé),SEDAN,6420,CUALQUIER DESTINO AL SUR DE MÉXICO Y LA ZONA DE SANTA FÉ
